Num,X,Y
1,0.4251341,0.5995561
2,0.3462169,0.2200943
3,0.1674678,0.1494051
4,0.04959887,0.08127546
5,0.7743499,0.4207346
6,0.8736529,0.541357
7,0.3930082,0.9189988
8,0.1799992,0.8597995
9,0.1092504,0.8339361
10,0.7335855,0.360498
11,0.8983019,0.2756014
12,0.9528501,0.1800992
13,0.966669,0.1464739
14,0.5148182,0.1681017
15,0.4153804,0.4529608
16,0.3741724,0.4798772
17,0.7224559,0.2734188
18,0.6847487,0.2511204
19,0.7166011,0.2730269
20,0.8525883,0.2182376
21,0.6454741,0.1734592
22,0.6365408,0.1034896
23,0.6130499,0.1341437
24,0.5543272,0.383893
25,0.5068416,0.3710376
26,0.2690811,0.4759484
27,0.1778483,0.4644413
28,0.188982,0.4690349
29,0.1395046,0.4923207
30,0.315499,0.4796072
31,0.6170865,0.4362435
32,0.642215,0.4628781
33,0.750146,0.5423945
34,0.9130591,0.6491008
35,0.9100013,0.6156282
